,Team,Name,Age,PER,dIQ,Dnk,Drb,End,2Pt,FT,Ins,Jmp,oIQ,Pss,Reb,Spd,Str,3Pt,Hgt,Ovr
32,OKC,Goran Dragić,35,9.177473314151365,49,37,74,65,49,51,49,51,54,76,43,44,43,42,37,55
33,LAL,Kevin Durant (PO),33,24.272978890369075,56,76,70,80,57,72,62,82,51,74,56,73,87,57,59,75
34,GSW,Monta Ellis (PO),36,11.42791534650464,51,57,66,64,74,50,56,67,49,72,38,61,54,45,33,58
35,GSW,Tyreke Evans (PO),32,15.635915405694313,49,65,66,63,57,61,69,67,55,71,61,69,73,57,44,66
36,CHA,Kenneth Faried (PO),32,17.83889773760223,59,68,56,46,40,30,63,42,53,45,75,48,57,30,66,58
37,DAL,Derrick Favors,30,20.821713277527095,73,83,53,68,55,51,87,41,66,59,81,50,74,54,65,71
38,FA,Landry Fields,33,10.426367804709024,49,45,65,38,35,33,36,55,46,45,55,55,55,29,48,50
39,MIN,Danilo Gallinari,33,20.411389123585014,46,75,65,39,55,67,45,61,59,53,78,67,63,60,59,64
40,MIA,Marc Gasol,36,13.717989285806341,50,56,52,57,43,48,42,62,46,50,57,47,56,29,66,57
41,GSW,Rudy Gay (PO),35,17.306997186072365,59,68,62,71,54,45,57,60,50,49,56,68,71,45,51,65
42,FA,Alonzo Gee,34,7.1033717859880445,46,53,50,58,34,37,35,43,45,48,53,57,56,39,45,51
43,WAS,Paul George (PO),31,22.75435132050989,77,76,71,60,70,76,72,56,57,69,78,60,64,73,51,73
44,FA,Eric Gordon,33,9.651312405442228,35,59,58,39,66,55,59,75,55,59,33,68,41,51,37,54
45,FA,Marcin Gortat,37,12.12704251630152,46,52,40,55,31,36,39,27,40,37,55,30,58,29,67,44
46,FA,Danny Green,34,8.334928528521589,46,40,56,39,42,47,29,51,30,44,36,53,38,63,48,45
47,FA,Donté Greene,33,12.683166972532632,44,58,43,33,54,56,29,64,39,42,47,58,41,54,62,53
48,WAS,Blake Griffin  (PO),32,20.313212743033482,52,78,43,75,43,67,77,77,66,54,76,61,81,26,61,68
49,CHA,James Harden (PO),32,19.982453565264667,58,75,80,62,54,67,69,68,62,69,62,74,66,65,46,71
50,FA,Josh Harrellson,32,14.951274130653335,55,47,40,47,42,46,38,46,44,41,60,46,50,56,61,54
51,NOL,Manny Harris (PO),32,21.449636240476945,67,78,78,49,51,65,58,66,63,67,62,58,52,58,42,66
52,OKC,Gordon Hayward (PO),31,26.892255725638766,57,77,73,60,63,71,58,78,69,69,58,80,65,66,48,73
53,SAC,Roy Hibbert,35,18.196858869858563,35,43,50,56,40,47,43,52,46,53,81,50,53,10,76,53
54,CLE,Jordan Hill,34,10.042612652038528,60,56,38,52,43,34,61,28,50,48,74,42,65,45,68,58
55,CLE,Jrue Holiday (PO),31,20.143204917376533,81,55,79,48,89,63,60,68,62,81,60,63,59,64,33,70
56,BOS,Al Horford (TO),35,15.962299587279027,51,61,60,43,65,62,58,40,57,63,73,35,57,56,59,58
57,GSW,Dwight Howard (PO),36,20.918717367804625,54,89,52,70,22,24,90,57,67,64,73,59,92,15,63,67
58,FA,Kris Humphries,36,12.239513918721768,42,48,50,40,38,39,52,35,46,50,66,31,53,24,62,43
59,FA,Serge Ibaka,32,11.51938044612716,50,54,38,27,36,34,32,34,47,33,52,36,54,33,69,45
60,PHI,Ersan İlyasova (TO),34,13.514195925419314,51,55,58,52,58,51,49,48,65,54,70,52,65,52,59,62
61,MIN,Kyrie Irving,29,26.045125130428577,61,67,85,53,94,76,69,70,80,82,61,69,63,66,37,73
62,CLE,LeBron James (PO),37,15.255242551123192,58,65,65,57,64,44,65,56,64,70,65,67,73,32,55,67
63,LAC,Brandon Jennings (PO),32,19.63281722166178,56,57,79,61,76,67,52,88,69,66,54,71,72,65,26,68
64,MIN,Jonas Jerebko,34,10.398011129577538,57,63,52,56,46,54,50,42,53,47,67,39,52,50,59,57
65,FA,James Johnson,34,7.339364220737791,58,40,42,41,34,40,43,47,31,45,31,59,45,38,58,50
66,WAS,DeAndre Jordan,33,14.12984264816995,65,60,42,55,11,22,35,59,38,34,57,42,59,21,75,56
67,LAL,Enes Kanter (TO),29,25.30688269695892,74,77,58,60,55,63,73,37,66,59,88,48,79,52,62,70
68,FA,Linas Kleiza,36,11.774590536050411,45,56,52,54,53,56,62,18,59,41,53,28,37,64,51,48
69,DAL,Brandon Knight,30,21.87094012962581,52,59,87,71,71,67,60,70,80,83,55,70,59,81,33,72
70,OKC,Kosta Koufos (PO),32,17.91066077948572,71,66,44,55,42,34,56,41,58,54,76,42,58,44,72,63
71,SAC,Ty Lawson (PO),34,10.260320934175802,52,49,77,66,63,60,53,86,59,73,48,72,68,51,27,65
72,FA,Courtney Lee,36,5.01607116934913,38,42,41,34,50,50,18,56,52,40,17,59,45,53,40,44
73,SA,Malcolm Lee,31,10.278370987186705,53,46,60,46,51,52,31,56,57,60,47,56,43,50,41,56
74,SA,Kawhi Leonard (PO),30,22.840543733954732,82,77,66,64,68,78,57,68,76,63,80,62,78,72,48,77
75,FA,Jeremy Lin,33,9.983812262304404,50,48,62,43,35,66,64,52,42,72,47,60,45,40,38,53
76,UTA,Brook Lopez,33,18.016884391284837,43,77,48,40,65,63,71,58,63,47,59,49,78,56,66,63
77,SAC,Kevin Love (PO),33,33.20651731454015,62,95,71,77,62,73,87,55,89,66,97,62,92,74,52,79
78,CHA,Kyle Lowry (PO),35,17.113833105861584,57,43,67,53,44,52,38,52,69,85,47,54,39,51,35,60
79,MIN,Wesley Matthews,35,11.49879189543804,58,48,51,43,48,58,25,51,54,39,44,67,54,61,37,57
80,FA,O.J. Mayo,34,10.213230350207539,40,50,62,53,55,50,47,66,52,66,41,55,44,60,40,55
81,CLE,JaVale McGee,33,11.792788576439879,48,63,43,58,43,19,59,48,48,47,60,45,69,40,74,58
82,IND,Paul Millsap,36,12.173092206035115,67,56,51,75,49,38,46,28,54,50,70,35,59,24,56,57
83,UTA,Greg Monroe,31,13.740489631840784,60,59,48,53,38,40,67,32,57,54,75,32,69,27,62,57
84,FA,Darius Morris,30,11.545103887142522,46,39,65,48,56,51,48,49,46,69,51,53,59,60,40,55
85,FA,Anthony Morrow,36,11.784950257834852,34,45,39,38,59,69,40,49,46,39,30,60,43,61,40,44
86,CHA,Joakim Noah,36,10.189499044072035,35,57,43,41,19,44,41,52,58,63,64,48,58,46,68,56
87,MEM,Greg Oden (PO),33,11.953293788581234,60,48,44,39,47,44,77,27,50,50,64,48,51,37,72,57
88,GSW,Chris Paul (PO),36,22.285292222035537,69,61,79,77,72,68,44,61,78,84,48,74,63,45,32,72
89,ORL,Rajon Rondo,35,17.361915876052084,66,46,74,64,39,26,49,55,58,70,67,67,52,39,32,61
90,MIL,Derrick Rose (PO),33,18.433212546277893,35,61,92,56,79,65,59,71,68,81,60,75,60,53,30,64
91,FA,Kevin Séraphin,32,13.237085921957567,40,62,46,35,52,43,59,33,35,37,51,44,58,43,67,46
92,SA,Iman Shumpert,31,6.398195218959045,59,44,48,52,56,50,47,54,48,64,46,57,45,52,40,56
93,LAL,Greg Smith,30,10.51767580518174,64,59,47,52,50,50,51,43,59,54,57,48,58,41,53,59
94,SAC,Josh Smith (PO),36,12.726624435886961,60,58,55,68,50,26,52,70,50,60,63,53,69,27,61,63
95,FA,J.R. Smith,36,11.633778054460514,31,29,48,36,54,56,33,36,62,36,44,39,41,62,44,40
96,FA,Tiago Splitter,36,12.144591787986164,38,49,41,35,17,29,62,46,44,38,62,40,50,24,72,44
97,FA,Rodney Stuckey,35,11.434537859054585,31,62,55,46,37,48,47,56,50,47,56,75,60,46,40,54
98,DET,Jeff Teague,33,15.666165909596364,50,60,85,61,72,44,50,78,58,80,43,79,68,65,36,68
99,FA,Isaiah Thomas,32,15.080360151838386,43,44,69,50,56,54,31,60,45,64,48,67,44,65,20,52
100,OKC,Klay Thompson (PO),31,14.511020519653284,59,40,60,52,83,71,50,56,59,68,45,62,55,75,44,64
101,FA,Tristan Thompson,30,10.66310386797191,50,61,50,33,20,25,52,45,52,40,63,42,62,31,62,52
102,PHI,Marcus Thornton,34,10.982847283542597,45,65,54,52,65,54,42,61,55,51,27,55,53,60,37,55
103,FA,Greivis Vásquez,34,10.82477519144325,45,23,69,46,50,43,40,54,42,81,51,58,35,52,44,53
104,SA,Kemba Walker (PO),31,22.352358219923524,67,58,78,54,73,68,59,76,84,70,67,71,66,66,28,72
105,LAC,John Wall (PO),31,17.108293046130562,55,52,70,46,40,54,56,68,57,77,57,79,54,41,45,64
106,OKC,Russell Westbrook (PO),33,26.941638518449437,72,88,82,77,75,75,98,68,68,85,66,71,92,49,39,78
107,MEM,Deron Williams,37,7.967260883013391,39,41,72,58,41,61,52,47,43,64,33,47,48,43,34,46
108,DET,Jordan Williams (PO),31,20.680264241734353,78,76,58,55,55,68,60,48,68,50,68,54,72,53,59,70
109,POR,Lou Williams,35,15.114032077264287,50,57,65,61,61,52,47,68,63,58,47,73,64,55,29,62
110,FA,Marvin Williams,35,9.345450211632903,54,51,46,45,43,56,39,43,50,42,70,50,51,48,51,54
111,FA,Brandan Wright,34,13.65168866883046,51,70,44,36,40,45,35,50,46,36,43,55,52,34,67,55
112,DET,Dorell Wright,36,9.421403144194107,48,41,48,48,64,45,28,63,50,44,52,61,47,61,55,57
113,OKC,Thaddeus Young (PO),33,12.547563838911977,60,72,56,61,65,53,44,60,54,54,53,72,67,55,51,66
114,OKC,Steven Adams (PO),28,22.424345503279838,77,70,61,46,40,43,66,46,63,65,81,48,81,52,68,71
115,FA,Cliff Alexander,26,5.8680340596607925,54,51,50,51,50,44,41,48,43,49,49,49,47,50,48,52
116,NYK,Kyle Anderson (PO),28,12.787475083094527,55,53,64,40,52,53,41,46,49,46,67,47,56,46,54,56
117,TOR,Giannis Antetokounmpo (PO),27,24.572380918917737,70,63,78,56,47,56,55,65,62,75,70,64,63,68,62,74
118,WAS,Thanasis Antetokounmpo,29,3.414127308646735,39,56,56,41,48,48,49,54,52,50,55,52,62,52,47,54
119,FA,Ryan Arcidiacono,27,5.489362122233146,44,38,62,40,47,57,27,55,41,66,46,68,48,60,35,53
120,FA,Dwayne Bacon,26,11.929252454541123,40,41,47,29,42,45,32,42,40,42,52,46,41,39,44,36
121,FA,Wade Baldwin,25,10.157917422453668,43,37,60,22,37,49,41,56,36,63,47,54,41,36,39,41
122,TOR,Harrison Barnes (PO),29,26.288326021921872,76,76,69,71,71,79,66,62,79,67,71,65,80,72,51,78
123,FA,Keita Bates-Diop,25,5.459769193718428,38,49,38,33,37,35,27,56,31,31,41,59,47,35,52,38
124,SA,Bradley Beal,28,13.353789466765132,49,68,61,27,67,60,39,56,71,56,54,39,57,61,38,56
125,FA,Malik Beasley,25,8.485384560016849,48,51,55,37,52,53,47,46,49,50,48,51,48,50,41,49
126,WAS,Jordan Bell,26,13.150346323069643,57,38,53,45,38,35,35,49,43,66,62,49,51,35,71,57
127,GSW,Anthony Bennett,28,13.104253752759638,67,66,53,41,50,46,60,39,54,48,65,35,67,53,53,58
128,FA,Dāvis Bertāns,29,12.847753829623954,37,45,51,20,58,62,29,55,39,48,36,50,37,88,59,50
129,FA,Sim Bhullar,29,10.048536917324055,44,53,50,55,46,49,46,48,52,55,50,46,52,57,47,54
130,FA,Antonio Blakeney,25,3.9314141685145714,32,51,48,29,43,43,41,46,46,39,41,50,39,40,38,35
131,GSW,Jonah Bolden,25,11.159326187507165,48,44,47,42,45,40,50,48,41,50,54,45,56,60,68,56
132,FA,Devin Booker,25,7.380450948837771,37,53,56,47,51,56,48,56,47,53,36,55,47,46,40,48
133,POR,Mikal Bridges,25,13.062004386397524,57,50,59,57,51,59,22,69,47,52,43,71,55,57,44,61
134,LAL,Malcolm Brogdon,29,19.457646125829946,58,57,71,54,68,69,45,65,55,77,50,71,51,61,40,65
135,HOU,Dillon Brooks,25,12.193589333131488,48,54,51,52,47,47,44,54,43,47,45,56,54,46,48,54
136,WAS,Jaylen Brown,25,12.49276015359713,64,71,56,49,47,40,52,66,53,49,56,55,58,55,47,61
137,FA,Sterling Brown,26,6.1509944329602,45,40,38,29,46,48,30,42,38,29,44,44,41,45,48,36
138,DEN,Jalen Brunson,25,2.5821861335651803,34,42,62,41,51,56,38,54,49,62,42,56,47,46,31,45
139,FA,Nicolás Brussino,28,12.452164420233133,54,46,59,33,51,54,35,50,44,53,55,50,46,70,48,55
140,FA,Reggie Bullock,30,12.563148516973795,50,51,58,16,73,60,35,53,55,49,51,42,55,72,44,54
141,CLE,Trey Burke (PO),29,24.295629570169478,56,56,78,38,82,91,58,54,80,81,67,53,54,73,24,64
142,BOS,Bruno Caboclo,26,15.655697068139967,68,59,62,58,57,64,55,54,68,56,61,55,62,55,48,66
143,BOS,Michael Carter-Williams,30,16.919298162849937,69,69,75,56,59,58,70,55,46,79,65,52,64,46,46,64
144,LAL,Willie Cauley-Stein,28,18.387175942357832,63,65,57,42,44,44,52,58,48,44,61,62,60,42,68,63
145,LAC,Brandon Clarke,25,12.09497905920004,48,69,38,33,31,28,67,65,36,37,65,53,61,32,52,48
146,FA,Coty Clarke,29,9.060509241143064,41,49,60,45,49,51,46,45,36,53,53,41,59,47,47,46
147,CLE,Gary Clark,27,13.497473625895662,49,49,47,44,72,78,22,64,46,37,53,59,35,86,53,57
148,POR,Jordan Clarkson,29,24.185529044207666,65,52,83,47,61,68,58,63,64,77,65,67,54,57,37,67
149,FA,Bonzie Colson,25,18.529086209482607,42,44,45,31,39,41,36,42,38,39,53,43,40,42,46,36
150,CHA,Jae Crowder (PO),31,13.6192754621354,62,68,73,64,61,67,39,60,56,63,61,63,63,65,44,67
151,CLE,Anthony Davis (PO),28,27.308677525714145,78,85,66,68,62,67,59,51,82,56,83,50,83,66,64,78
152,FA,Deyonta Davis (PO),25,15.02781706036771,53,65,40,33,38,44,54,39,46,42,62,47,61,46,65,55
153,FA,Branden Dawson,28,8.718678578322242,39,52,52,37,50,56,43,45,46,48,48,42,55,44,47,45
154,SA,Nando De Colo,34,13.920957354198464,59,40,62,45,52,52,43,39,47,79,68,49,43,66,40,56
155,MIL,Sam Dekker,27,18.334721165596143,63,57,59,63,60,65,50,48,66,60,62,46,67,82,47,66
156,FA,Cheick Diallo,25,5.7146993616098305,45,54,44,38,42,38,50,40,43,45,64,43,53,35,55,45
157,OKC,Spencer Dinwiddie (PO),28,15.479979556942578,55,36,74,45,68,58,48,55,55,81,51,51,39,61,41,59
158,WAS,Tyler Dorsey,25,26.113743917701083,56,72,70,57,84,75,66,57,75,62,63,57,59,80,40,68
159,NYK,PJ Dozier (PO),25,10.303624355201562,57,53,60,55,56,54,51,52,54,54,59,53,56,54,46,59
160,LAL,Andre Drummond (PO),28,18.532635803119643,82,75,61,34,27,33,58,30,66,50,76,43,71,40,67,66
161,FA,Kris Dunn,27,7.80997228160937,46,28,57,27,34,29,28,53,31,60,36,47,33,37,42,36
162,UTA,Vince Edwards,25,7.060758509352748,44,49,52,38,46,42,45,47,44,48,51,50,52,48,47,48
163,WAS,Joel Embiid (PO),27,12.264007868950118,70,58,43,56,62,46,98,13,50,53,63,20,91,27,79,61
164,PHI,Tyler Ennis,27,20.581928170344913,56,56,85,57,76,78,54,72,46,93,66,66,59,73,34,66
165,MIL,Jawun Evans (PO),25,15.25244353177211,61,57,69,64,65,62,54,56,65,70,53,57,48,60,30,62
166,DAL,Dante Exum,26,11.03863217393391,57,41,71,35,67,60,30,71,48,73,48,64,42,74,40,60
167,UTA,Tacko Fall,26,45.66106534730293,40,61,25,27,27,3,60,30,28,33,53,28,58,5,87,35
168,CHA,Kay Felder (PO),26,13.240509253632323,56,55,72,40,54,52,57,65,55,66,51,67,57,48,30,59
169,FA,Yogi Ferrell,28,9.890687383063328,38,44,69,43,51,58,39,63,42,62,45,70,49,71,27,53
170,LAL,Dorian Finney-Smith,28,9.003628817423483,51,54,55,40,48,56,34,63,50,52,56,59,59,64,48,58
171,CLE,Aaron Gordon,26,15.108887326331562,66,66,57,80,45,61,51,69,55,49,59,58,64,65,57,69
172,MIL,Jerami Grant,27,11.279095829189451,52,67,57,32,31,40,45,69,43,46,49,62,53,56,57,58
173,FA,Daniel Hamilton,26,3.7386956709488848,50,50,57,42,53,45,46,44,47,56,54,47,52,45,46,51
174,DET,Maurice Harkless (PO),28,25.17559871583117,82,68,68,50,70,55,54,65,88,58,62,64,79,68,50,77
175,OKC,Aaron Harrison (PO),27,8.582920029336671,54,61,56,59,55,55,57,45,51,49,57,53,53,61,46,58
176,FA,Andrew Harrison,27,12.74229897537969,36,45,63,31,35,43,33,59,46,60,39,63,39,48,44,48
177,FA,Shaquille Harrison,28,4.087578664554323,48,37,57,34,46,37,41,50,37,58,47,51,43,39,48,45
178,DET,Josh Hart,26,9.891350058605594,47,52,58,47,49,48,32,55,53,48,62,60,54,62,44,57
179,CLE,John Henson (PO),31,16.230775628657803,58,69,62,43,52,44,79,43,55,43,74,51,61,45,64,61
180,PHI,Juancho Hernangómez (PO),26,13.708533071519966,58,58,57,32,51,48,38,46,50,47,65,52,52,62,55,58
181,FA,Willy Hernangómez,27,12.923912254356306,59,49,47,40,35,34,64,32,47,54,83,34,53,28,64,52
182,ATL,Kevin Hervey,25,12.564171307117466,29,61,42,33,38,65,38,49,46,27,28,51,52,67,52,45
183,NOL,Mario Hezonja,26,12.058706159748096,49,47,58,40,67,74,40,60,49,57,54,57,50,68,51,59
184,SAC,Haywood Highsmith,25,10.189995323951777,56,60,57,58,53,52,48,53,51,54,57,55,64,50,47,60
185,MIA,Aaron Holiday,25,12.201849253765166,49,50,69,45,63,67,48,67,45,65,45,62,48,65,35,57
186,FA,Rondae Hollis-Jefferson,26,13.40853807849073,65,54,57,41,33,35,34,38,51,50,63,42,53,35,50,54
187,OKC,Rodney Hood (PO),29,13.415163086114784,47,55,68,47,58,58,48,63,51,53,57,56,54,62,51,59
188,FA,R.J. Hunter,28,8.494543704120028,42,39,53,36,57,65,37,49,44,45,41,52,45,79,42,49
189,FA,Damien Inglis,26,9.467571838044297,49,38,50,33,49,47,36,46,34,51,54,46,47,39,49,43
190,FA,Demetrius Jackson,27,8.968578345337667,48,55,58,38,46,47,46,50,50,51,56,49,56,49,45,53
191,TOR,Justin Jackson (TO),26,8.976758883334593,41,50,56,41,55,52,36,62,53,46,51,62,58,59,48,56
192,DET,John Jenkins,30,9.329626681530046,36,42,63,43,64,71,41,66,46,47,48,68,46,66,38,54
193,FA,Cameron Johnson,25,2.8990336768109057,38,61,40,38,51,57,54,51,44,44,39,47,49,59,53,48
194,IND,Dakari Johnson,26,7.316998795115867,53,58,51,38,47,42,42,45,49,49,51,48,54,42,60,55
195,HOU,Stanley Johnson (PO),25,19.477879515924744,75,69,59,54,62,67,63,46,68,60,64,43,61,69,44,66
196,FA,Tyler Johnson,29,2.0984562250630088,56,57,50,26,48,51,38,55,44,50,48,58,53,43,39,51
197,PHI,Nikola Jokić,26,29.71037189864867,83,67,71,61,63,70,68,49,74,75,89,46,70,59,66,76
198,MIA,Jemerrio Jones,26,11.77547311721203,58,49,57,41,52,44,47,51,51,54,68,51,57,42,51,57
199,SAC,Kevin Jones,32,14.322326522332482,58,67,53,50,68,45,42,46,69,58,60,46,62,73,51,63
200,SAC,Terrence Jones,29,17.577246250686756,64,58,56,47,60,64,60,65,67,59,68,60,57,56,57,67
201,MIN,Tyus Jones,25,13.04348308892874,52,37,73,41,44,48,36,64,62,75,48,66,41,51,22,56
202,MEM,Frank Kaminsky,28,13.234522391347387,38,57,58,44,50,51,34,63,52,46,49,56,58,54,66,58
203,DET,Luke Kennard,25,11.774832701337708,37,35,52,36,47,49,29,55,38,48,42,56,39,47,40,40
204,GSW,Michael Kidd-Gilchrist,28,13.78829410681404,61,66,56,43,46,46,50,47,56,55,57,48,59,50,53,59
205,SAC,John Konchar,25,13.763142416708591,28,73,72,47,69,87,32,45,60,74,45,62,34,73,39,57
206,UTA,Luke Kornet,26,5.265851700254789,30,35,46,24,49,48,32,55,38,43,41,48,33,63,70,44
207,UTA,Kyle Kuzma,26,11.629073049608888,46,62,54,51,61,48,60,50,52,52,66,50,67,55,51,58
208,FA,Skal Labissière,25,16.42239989696906,54,63,48,31,43,42,65,35,51,44,66,36,64,39,60,53
209,CLE,Doron Lamb,30,9.241186458323819,51,63,65,55,58,55,37,60,45,56,58,61,46,64,37,57
210,BOS,Zach LaVine,26,13.394668042462076,62,52,69,47,50,69,60,58,51,79,57,59,53,61,44,63
211,SAC,Jake Layman (PO),27,10.164425268282931,54,56,52,61,63,68,57,59,50,47,47,62,62,75,50,63
212,SA,Alex Len,28,14.153436843672907,42,74,48,39,53,44,76,43,44,52,70,42,68,50,68,56
213,DEN,Meyers Leonard,29,21.246773094569132,55,71,62,38,51,54,49,50,54,62,62,60,64,58,66,65
214,FA,Caris LeVert,27,11.154299763194285,49,44,59,31,46,45,34,49,51,53,52,60,49,56,44,54
215,CHA,Damian Lillard (PO),31,18.262280299147434,45,63,86,63,68,81,54,72,55,77,52,69,68,74,33,66
216,TOR,Kevon Looney,25,13.505098315300028,63,58,60,56,53,59,56,49,68,58,60,50,59,59,48,64
217,ATL,Timothé Luwawu-Cabarrot,26,14.362455236542143,67,66,66,53,61,73,61,57,62,53,53,58,59,71,48,67
218,FA,Tyler Lydon,25,10.374456806668384,50,52,55,48,48,48,45,53,50,50,53,54,51,47,46,55
219,FA,Trey Lyles,26,11.392788031332401,49,56,49,44,50,49,50,41,49,45,59,40,64,57,55,54
220,PHI,Boban Marjanović,33,13.414240177115486,40,59,50,37,34,43,69,30,42,48,74,34,58,40,79,52
221,NOL,Jarell Martin,27,14.320311573911289,59,74,55,59,50,48,68,40,56,51,65,44,63,36,58,60
222,SAC,James Michael McAdoo (Player),28,15.245589056337586,53,66,50,51,57,49,80,45,61,48,66,55,64,52,57,61
223,FA,Patrick McCaw,26,5.929496693532697,32,32,49,25,44,44,15,68,31,44,36,61,39,50,48,39
224,DEN,Chris McCullough,26,12.575374160247769,65,61,52,38,38,42,45,48,47,40,54,48,55,54,60,58
225,FA,Doug McDermott,29,13.216588353447237,33,61,55,38,56,51,53,45,52,41,52,54,58,57,47,51
226,LAC,Ceddanne Rafaela (PO),28,19.24752345069049,57,66,66,37,65,72,60,47,60,55,58,53,65,81,38,62
227,OKC,Jordan Mickey,27,9.547293707450006,68,65,51,49,59,55,63,39,60,49,57,43,54,59,48,60
228,LAL,Quincy Miller,29,12.366443332576676,74,73,62,78,75,78,65,57,54,75,63,59,61,65,48,71
229,FA,Shake Milton,25,8.92756312330222,31,37,43,32,46,44,22,53,32,36,33,49,36,49,46,34
230,TOR,Nikola Mirotić,30,20.73875705547881,54,85,67,54,64,67,71,61,64,55,77,58,68,61,59,68
231,WAS,Donovan Mitchell,25,14.319517659182146,59,67,67,77,63,57,66,68,58,66,51,65,68,56,35,66
232,FA,Luis Montero,28,11.114216688581235,45,53,55,48,58,52,54,52,46,54,57,51,53,56,47,54
233,FA,Jaylen Morris,26,5.500257946611617,47,45,55,37,47,40,44,49,37,48,52,51,51,45,44,46
234,FA,Monte Morris,26,-0.05567529069413901,33,40,46,37,38,39,32,43,33,44,42,44,42,35,45,33
235,ORL,Donatas Motiejūnas ,31,17.284343746005458,42,57,67,55,63,58,66,53,45,57,60,47,51,63,65,59
236,FA,Johnathan Motley,26,4.942479523769861,39,49,43,26,35,32,56,34,44,42,61,37,53,30,53,37
237,FA,Arnett Moultrie,31,15.78021646730123,49,57,54,28,44,52,41,36,47,49,66,38,57,41,62,51
238,CLE,Emmanuel Mudiay (PO),25,10.650613993192197,48,50,75,43,51,42,58,71,54,77,58,63,51,48,34,58
239,PHI,Xavier Munford,29,13.860357448208989,65,70,72,55,57,56,50,52,53,56,51,54,59,63,39,62
240,PHI,Dejounte Murray (TO),25,11.827018271517963,59,56,70,36,48,54,63,59,48,70,56,61,57,51,42,60
241,GSW,Raul Neto,29,5.430667623610974,53,37,72,48,53,63,47,68,37,72,46,71,51,59,26,56
